Country,City,AQI_Value,AQI_Category,CO_AQI_Value,CO_AQI_Category,Ozone_AQI_Value,Ozone_AQI_Category,NO2_AQI_Value,NO2_AQI_Category,PM_25_AQI_Value,PM_25_AQI_Category
1,1,51,1,1,1,36,1,0,1,51,1
2,2,41,2,1,1,5,1,1,1,41,2
2,2,41,2,1,1,5,1,1,1,41,2
3,3,66,1,1,1,39,1,2,1,66,1
4,4,34,2,1,1,34,1,0,1,20,2
5,5,54,1,1,1,14,1,11,1,54,1
5,5,54,1,1,1,14,1,11,1,54,1
6,6,64,1,1,1,29,1,7,1,64,1
1,7,54,1,1,1,41,1,1,1,54,1
7,8,68,1,2,1,68,2,1,1,58,1
8,9,41,2,1,1,24,1,6,1,41,2
9,10,59,1,1,1,30,1,4,1,59,1
3,11,55,1,1,1,47,1,0,1,55,1
5,12,72,1,1,1,4,1,23,1,72,1
4,13,28,2,1,1,28,1,2,1,28,2
2,14,154,3,5,1,0,1,13,1,154,3
10,15,67,1,1,1,16,1,2,1,67,1
11,16,62,1,1,1,37,1,1,1,62,1
1,17,31,2,1,1,31,1,0,1,17,2
9,18,56,1,1,1,35,1,0,1,56,1
5,19,77,1,2,1,22,1,15,1,77,1
5,19,77,1,2,1,22,1,15,1,77,1
12,20,44,2,1,1,15,1,0,1,44,2
2,21,30,2,1,1,9,1,2,1,30,2
13,22,30,2,1,1,30,1,1,1,15,2
14,23,79,1,3,1,18,1,5,1,79,1
5,24,34,2,1,1,19,1,7,1,34,2
15,25,51,1,1,1,20,1,5,1,51,1
5,26,77,1,1,1,34,1,0,1,77,1
5,27,61,1,1,1,32,1,3,1,61,1
2,28,32,2,1,1,7,1,2,1,32,2
1,29,29,2,0,1,29,1,0,1,25,2
16,30,247,4,3,1,162,3,1,1,247,4
5,31,45,2,1,1,32,1,7,1,45,2
5,31,45,2,1,1,32,1,7,1,45,2
5,31,45,2,1,1,32,1,7,1,45,2
6,32,36,2,1,1,25,1,3,1,36,2
17,33,124,5,2,1,15,1,5,1,124,5
5,34,72,1,1,1,26,1,2,1,72,1
15,35,55,1,0,1,32,1,1,1,55,1
15,35,55,1,0,1,32,1,1,1,55,1
5,36,31,2,0,1,31,1,0,1,25,2
16,37,60,1,1,1,31,1,1,1,60,1
18,38,30,2,1,1,17,1,0,1,30,2
19,39,44,2,1,1,34,1,0,1,44,2
5,40,47,2,1,1,37,1,4,1,47,2
8,41,37,2,0,1,32,1,2,1,37,2
5,42,44,2,1,1,14,1,8,1,44,2
5,42,44,2,1,1,14,1,8,1,44,2
5,43,58,1,2,1,14,1,24,1,58,1
10,44,89,1,3,1,3,1,6,1,89,1
3,45,52,1,2,1,38,1,7,1,52,1
15,46,51,1,1,1,25,1,6,1,51,1
1,47,38,2,1,1,38,1,0,1,13,2
5,48,88,1,2,1,11,1,20,1,88,1
20,49,54,1,1,1,31,1,3,1,54,1
20,50,44,2,1,1,28,1,3,1,44,2
15,51,51,1,1,1,26,1,6,1,51,1
5,52,67,1,2,1,15,1,23,1,67,1
20,53,49,2,1,1,25,1,3,1,49,2
7,54,203,4,5,1,203,4,5,1,151,3
20,55,35,2,0,1,32,1,0,1,35,2
5,56,90,1,1,1,25,1,2,1,90,1
5,56,90,1,1,1,25,1,2,1,90,1
5,56,90,1,1,1,25,1,2,1,90,1
5,56,90,1,1,1,25,1,2,1,90,1
5,56,90,1,1,1,25,1,2,1,90,1
5,56,90,1,1,1,25,1,2,1,90,1
20,57,36,2,0,1,34,1,1,1,36,2
9,58,48,2,1,1,28,1,4,1,48,2
5,59,41,2,1,1,28,1,10,1,41,2
5,59,41,2,1,1,28,1,10,1,41,2
21,60,19,2,0,1,19,1,1,1,17,2
3,61,47,2,1,1,47,1,1,1,36,2
16,62,155,3,3,1,82,2,1,1,155,3
2,63,46,2,1,1,9,1,1,1,46,2
22,64,64,1,1,1,15,1,2,1,64,1
3,65,44,2,1,1,44,1,1,1,38,2
7,66,142,5,4,1,113,5,9,1,142,5
18,67,54,1,1,1,20,1,0,1,54,1
23,68,60,1,1,1,44,1,3,1,60,1
22,69,166,3,4,1,8,1,19,1,166,3
2,70,27,2,0,1,23,1,1,1,27,2
2,71,23,2,1,1,7,1,1,1,23,2
2,72,31,2,1,1,13,1,0,1,31,2
24,73,90,1,2,1,22,1,9,1,90,1
1,74,51,1,1,1,38,1,0,1,51,1
16,75,170,3,1,1,38,1,0,1,170,3
2,76,22,2,0,1,9,1,1,1,22,2
4,77,47,2,1,1,27,1,2,1,47,2
18,78,59,1,1,1,32,1,0,1,59,1
25,79,133,5,4,1,23,1,3,1,133,5
13,80,29,2,1,1,29,1,1,1,7,2
2,81,73,1,2,1,2,1,8,1,73,1
18,82,50,2,0,1,24,1,0,1,50,2
2,83,25,2,0,1,9,1,1,1,25,2
25,84,90,1,3,1,18,1,2,1,90,1
22,85,81,1,2,1,26,1,3,1,81,1
2,86,29,2,0,1,20,1,1,1,29,2
2,87,44,2,1,1,16,1,1,1,44,2
26,88,65,1,1,1,12,1,0,1,65,1
5,89,53,1,1,1,28,1,10,1,53,1
5,89,53,1,1,1,28,1,10,1,53,1
5,89,53,1,1,1,28,1,10,1,53,1
5,90,56,1,0,1,23,1,0,1,56,1
27,91,57,1,1,1,26,1,3,1,57,1
28,92,62,1,0,1,35,1,0,1,62,1
5,93,49,2,1,1,27,1,4,1,49,2
1,94,34,2,1,1,34,1,0,1,32,2
16,95,163,3,2,1,92,2,0,1,163,3
5,96,126,5,4,1,3,1,36,1,126,5
5,96,126,5,4,1,3,1,36,1,126,5
5,97,63,1,2,1,9,1,22,1,63,1
5,98,53,1,2,1,27,1,10,1,53,1
5,99,86,1,2,1,38,1,10,1,86,1
7,100,112,5,2,1,44,1,4,1,112,5
