Country,City,AQI_Value,AQI_Category,CO_AQI_Value,CO_AQI_Category,Ozone_AQI_Value,Ozone_AQI_Category,NO2_AQI_Value,NO2_AQI_Category,PM_25_AQI_Value,PM_25_AQI_Category,lat,lng
1,1,51,1,1,1,36,1,0,1,51,1,44.7444,44.2031
2,2,41,2,1,1,5,1,1,1,41,2,-5.29,-44.49
2,2,41,2,1,1,5,1,1,1,41,2,-11.2958,-41.9869
3,3,66,1,1,1,39,1,2,1,66,1,37.1667,15.1833
4,4,34,2,1,1,34,1,0,1,20,2,53.0167,20.8833
5,5,54,1,1,1,14,1,11,1,54,1,16.1005,-88.8074
5,5,54,1,1,1,14,1,11,1,54,1,26.8941,-82.0513
6,6,64,1,1,1,29,1,7,1,64,1,51.0761,4.2803
1,7,54,1,1,1,41,1,1,1,54,1,44.05,43.0667
7,8,68,1,2,1,68,2,1,1,58,1,21.95,108.6167
8,9,41,2,1,1,24,1,6,1,41,2,52.3833,6.2667
9,10,59,1,1,1,30,1,4,1,59,1,50.3892,3.4858
3,11,55,1,1,1,47,1,0,1,55,1,37.3833,14.7
5,12,72,1,1,1,4,1,23,1,72,1,33.5722,-112.0892
4,13,28,2,1,1,28,1,2,1,28,2,52.0667,21.0167
2,14,154,3,5,1,0,1,13,1,154,3,-22.5128,-44.0008
10,15,67,1,1,1,16,1,2,1,67,1,9.7919,-74.7872
11,16,62,1,1,1,37,1,1,1,62,1,43.9333,23.0833
1,17,31,2,1,1,31,1,0,1,17,2,56.45,60.1833
9,18,56,1,1,1,35,1,0,1,56,1,46.9061,6.3547
5,19,77,1,2,1,22,1,15,1,77,1,42.6493,-83.2878
5,19,77,1,2,1,22,1,15,1,77,1,40.8894,-88.6409
12,20,44,2,1,1,15,1,0,1,44,2,-0.0206,109.3414
2,21,30,2,1,1,9,1,2,1,30,2,-22.7558,-51.3789
13,22,30,2,1,1,30,1,1,1,15,2,61.4833,21.8
14,23,79,1,3,1,18,1,5,1,79,1,-33.9581,25.6
5,24,34,2,1,1,19,1,7,1,34,2,29.9765,-93.9459
15,25,51,1,1,1,20,1,5,1,51,1,51.5906,-3.7986
5,26,77,1,1,1,34,1,0,1,77,1,34.1754,-103.3565
5,27,61,1,1,1,32,1,3,1,61,1,47.7213,-116.9384
2,28,32,2,1,1,7,1,2,1,32,2,-22.2281,-45.9336
1,29,29,2,0,1,29,1,0,1,25,2,44.55,135.5833
16,30,247,4,3,1,162,3,1,1,247,4,26.17,85.9
5,31,45,2,1,1,32,1,7,1,45,2,39.7805,-84.2003
5,31,45,2,1,1,32,1,7,1,45,2,39.2592,-119.5653
5,31,45,2,1,1,32,1,7,1,45,2,30.0315,-94.9158
6,32,36,2,1,1,25,1,3,1,36,2,50.9833,3.5333
17,33,124,5,2,1,15,1,5,1,124,5,18.55,-72.3
5,34,72,1,1,1,26,1,2,1,72,1,32.2631,-107.7525
15,35,55,1,0,1,32,1,1,1,55,1,33.2175,-97.1418
15,35,55,1,0,1,32,1,1,1,55,1,53.4554,-2.1122
5,36,31,2,0,1,31,1,0,1,25,2,30.395,-86.4701
16,37,60,1,1,1,31,1,1,1,60,1,12.127,78.158
18,38,30,2,1,1,17,1,0,1,30,2,8.5872,123.3408
19,39,44,2,1,1,34,1,0,1,44,2,56.6167,23.2667
5,40,47,2,1,1,37,1,4,1,47,2,42.9004,-85.7564
8,41,37,2,0,1,32,1,2,1,37,2,51.7667,5.7333
5,42,44,2,1,1,14,1,8,1,44,2,31.8393,-111.0009
5,42,44,2,1,1,14,1,8,1,44,2,39.3414,-77.24
5,43,58,1,2,1,14,1,24,1,58,1,42.9371,-88.0018
10,44,89,1,3,1,3,1,6,1,89,1,4.0833,-74.9167
3,45,52,1,2,1,38,1,7,1,52,1,42.2,14.2167
15,46,51,1,1,1,25,1,6,1,51,1,51.2365,-0.5703
1,47,38,2,1,1,38,1,0,1,13,2,48.05,39.9167
5,48,88,1,2,1,11,1,20,1,88,1,38.7931,-90.3899
20,49,54,1,1,1,31,1,3,1,54,1,49.5053,8.6033
20,50,44,2,1,1,28,1,3,1,44,2,51.3167,6.9667
15,51,51,1,1,1,26,1,6,1,51,1,51.7526,-0.4692
5,52,67,1,2,1,15,1,23,1,67,1,40.7637,-73.5245
20,53,49,2,1,1,25,1,3,1,49,2,50.7422,8.2039
