brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ssd,hdd,os,os_bit,graphic_card_gb,Price,rating,Number of Ratings,Number of Reviews
0,0,1,1,1,1,1,1,1,1,1,1,3,0
1,0,1,1,1,1,1,1,1,1,2,2,65,5
1,0,1,1,1,1,1,1,1,1,3,2,8,1
0,0,2,1,2,2,2,1,2,2,4,2,0,0
0,0,3,2,1,1,3,1,1,1,5,2,0,0
0,0,3,2,1,1,3,1,1,1,6,2,0,0
0,0,3,2,1,1,3,1,2,1,7,2,31,3
0,0,2,1,2,1,1,1,2,2,8,2,0,0
1,0,2,1,1,1,1,1,2,1,9,2,0,0
2,1,4,1,1,1,3,1,2,3,10,3,1946,240
2,1,4,1,1,1,3,1,2,4,11,3,259,47
2,1,4,1,1,1,3,1,2,3,12,3,425,67
3,0,3,2,1,1,3,1,1,1,13,2,1120,196
0,0,1,3,1,3,2,1,1,1,14,2,0,0
4,0,1,3,2,3,2,1,1,1,15,2,0,0
4,0,2,3,2,3,2,1,1,1,16,2,0,0
1,0,3,2,1,3,2,1,1,1,17,3,286,19
4,0,3,2,2,3,2,1,1,1,18,3,58,6
1,0,3,2,1,3,2,1,1,1,19,2,0,0
0,0,3,2,1,3,2,1,1,1,20,3,7,0
0,0,3,2,1,1,1,1,1,1,21,2,15279,1947
4,0,1,4,1,1,1,1,1,1,22,3,311,27
4,0,2,4,1,1,1,1,2,2,23,3,47,7
0,0,1,3,1,3,2,1,1,1,24,3,37,6
1,0,1,1,2,3,2,1,2,1,25,3,2080,235
0,0,1,3,1,3,2,1,2,1,14,3,1479,181
0,0,1,1,2,3,2,1,1,1,26,3,67,3
4,0,1,3,2,3,2,1,1,1,27,3,273,30
5,0,1,1,2,3,2,1,1,1,28,3,1267,171
4,0,1,3,2,3,2,1,1,1,29,3,14,0
2,0,1,3,2,3,2,1,1,1,30,2,0,0
0,0,1,3,2,3,2,1,1,1,25,3,284,39
0,0,1,3,2,3,2,1,1,1,31,3,44,5
1,0,1,3,2,3,2,1,1,1,30,3,33,4
1,0,1,1,2,3,2,1,1,1,25,3,286,36
5,0,1,3,2,3,2,1,1,1,32,2,10,5
0,0,1,3,2,3,2,1,1,1,33,3,816,147
1,0,1,3,2,3,2,1,1,1,27,3,543,65
5,0,1,3,2,3,2,1,1,1,34,3,9,1
5,0,1,1,1,3,2,1,1,1,35,3,1178,137
1,0,1,3,2,3,2,1,1,1,29,3,299,41
0,0,1,3,2,3,2,1,1,1,35,3,20,1
1,0,1,1,1,3,2,1,1,1,36,3,758,64
5,0,1,1,1,3,2,1,1,1,28,3,634,64
1,0,1,1,2,3,2,1,1,1,3,4,4,0
5,0,1,3,2,3,2,1,1,1,37,3,17,2
5,0,1,3,2,3,2,1,1,1,38,3,24,5
5,0,1,3,2,3,2,1,1,1,39,3,1753,165
5,0,1,3,2,3,2,1,1,1,32,3,216,21
1,0,1,3,2,3,2,1,1,1,32,3,1084,160
0,0,1,3,2,3,2,1,1,1,40,2,19,3
1,0,1,3,1,3,2,1,1,1,30,3,106,13
1,0,1,3,1,3,2,1,1,1,41,3,42,4
1,0,1,1,1,3,2,1,1,1,42,2,0,0
1,0,1,1,2,3,2,1,2,1,43,2,0,0
4,0,1,3,1,3,2,1,1,1,44,3,1029,107
6,0,1,1,1,3,2,1,1,1,30,3,53,11
5,0,1,3,1,3,2,1,1,1,45,2,0,0
0,0,1,1,1,3,2,1,1,1,14,2,0,0
1,0,1,1,1,3,2,1,1,1,46,2,48,1
1,0,1,1,1,3,2,1,2,1,47,2,3,0
5,0,1,1,1,3,2,1,1,1,34,2,0,0
2,0,3,2,1,1,3,1,2,1,21,2,61,4
5,0,1,3,1,3,2,1,1,1,48,3,97,13
0,0,1,3,1,3,2,1,1,1,27,3,181,19
1,0,1,1,1,3,2,1,1,1,49,3,529,39
0,0,1,3,1,3,2,1,2,1,32,2,0,0
1,0,1,1,1,3,2,1,1,1,3,2,0,0
0,0,1,1,1,3,2,1,2,1,27,2,0,0
1,0,1,3,1,3,2,1,1,1,50,3,10,1
4,0,1,3,1,3,2,1,1,1,34,3,5205,561
1,0,1,1,1,3,2,1,2,1,32,2,3,0
